author,datePublished,reviewRating,description,name
Jess S.,2021-07-05,5,Everything from the atmosphere to the service presentation of food prices and amazing flavours is TOP NOTCH This place is incredible We made reservations for Saturday for 5:30 and we were sat and served immediately Our server Calen was so friendly and very efficient His patience was incredible We had a toddler with us and he was able to navigate through the menu to help us sort out an appropriate meal My friend settled on Agedashi Tofu GF fried tofu sticky orange ginger sauce dry for the kid Dan Dan Noodles spicy dan dan sauce farro gai lan peanuts with sauce on the side and Mushroom + Sausage Tagliatelle GF OPT +3 pistachio pesto cream parmesan garlic bread wedge  no bread to make it GF Food was so well presented Service sizes are perfect The dan dan sauce was spicy and INCREDIBLE My pasta was really good and full of mushrooms as well I wish I got the Romesco Vodka Pasta but I am so looking forward to returning We also ordered Peanut Butter Cup Pie GF puffed crisps chocolate ganache maldon and it was hella good Perfection We also ordered their house wine Indigenous World Winery Red Blend  which complimented the meal perfectly Definitely coming back,MILA Plant-Based
Arlene B.,2021-10-03,4,You dont have to be vegan to appreciate the food experience at Mila restaurant I must admit that I was initially sceptical about how much I would enjoy this restaurant as I so often include meat as part of my diet But I was wrong and genuinely enjoyed my food My sister and I came to pick up food for lunch The restaurant has a polished feel from the chair line angles that echo in the tile work The staff at the front of house was attentive and helpful in terms of suggesting some of the most popular menu items and advising against certain items that might not be suitable for takeout eg ice cream We ordered the Mila roll the pistachio cream and sausage tagliatelle the bulgogi tacos and the peanut butter pie The Mila roll was served with the sauce on the side which I appreciated as Im not a huge fan of wasabi The roll itself was fresh and tasty I didnt try the bulgogi taco but my family members who have had it before have raved about them I thoroughly enjoyed the pistachio cream and sausage tagliatelle The sausage had characteristic fennel flavour and a meaty texture The pistachio cream and vegan grated cheese added the perfect amount of creaminess and cheesiness to the dish I in no way felt like I was missing out on meat or cheese in this dish The peanut butter pie alas melted somewhat during transport so we put it in the fridge to solidify Even if you are a meat eater Mila could possibly convince you to occasionally eat and enjoy a plant based meal I would definitely come back here,MILA Plant-Based
Poonam M.,2021-08-08,4,This the old Juniper so the layout is the same We had Bao smash burger Dan Dan noodles mushroom and sausage tagliatelle and peach cobbler All phenomenal Hands down the best vegan food I have had So so good The service Not so good My noodles did not come until I had asked for it twice The glass of wine my friend ordered never came About three different times we were offered food that we did not ask for...so the front staff a hot mess The chef clearly knows what they are doing I would recommend this place only bc the food is outstanding Just manage your expectations regarding getting your food on time,MILA Plant-Based
Suzan L.,2021-06-26,1,Very disappointing experience The Sakura cocktail tasted awful floral in all the wrong ways  it was so bad that I didnt even want to drink it after 2 sips When I bought this up with the server he just shrugged and told me that I can get a different drink next time Wow is this really what to expect from a higher scale restaurant like this It took forever for the food we ordered to come out How does it take over 30 min to make 6 pieces of sushi for one The coconut curry noodles were awful It was so salty it was almost inedible My friends dandan noodles were so much better However the dishes were lukewarm by the time we received them Makes me wonder if they were just sitting there Overall a complete disappointment I paid over 50 for bad food bad drinks and bad service,MILA Plant-Based
Sangeetha M.,2021-05-05,4,I ordered for delivery so I cant comment on the actual restaurant I was excited to try this restaurant because a lot of people mentioned how amazing it is But I was quite reluctant because it is more on the pricey side and I always find it a little odd to pay for vegetarian food more than or as much as I would pay for meat or seafood After trying the food I stand by this Good food but too expensive for what it is IMO I tried the mushroom and sausage tagliatelle It was a big filling portion and it felt like I had meat Really hit the spot Desert  I tried the peanut butter cup pie I shared this with a friend and one slice was way too much for the both of us Its really good as if youre having Reeses peanut butter cups but it also got to be way too rich and too much I must say that it looks beautiful though with the gold and some crunchy bits,MILA Plant-Based
Celina L.,2021-08-12,5,I know the thought of vegan food can scare off people but as someone who is not vegan this place was TOP TIER The ambience inside gave me high-end Gastown restaurant vibes especially with how stunning the bar was and how the space was designed The food Im telling you you cant even tell anything was vegan The aburi oshi tasted close to the real thing because of the vegan mayo PLEASE get the smashed potatoes Its so addicting The Mila roll had heart of palm in it Who knew a forgotten ingredient like that could make something taste sooo good Please go check it out with your vegan friends or with your non vegan friends Im definitely going to go back and take my bf there ,MILA Plant-Based
Tasfia T.,2021-08-15,5,We came here just for dessert since they are open late and I am glad we did All the desserts were excellent I would highly recommend the peanut butter cup pie Cant wait to come back here for dinner,MILA Plant-Based
Pam C.,2021-02-16,4,MILA is right beside Bao Bei formerly Juniper MILA was very busy the night we visited We had reservations but we werent seated at a nice spot Our server was nice and I didnt mind waiting a little longer as they were pretty busy I ordered Aburi sushi and the tagliatelle They used carrots as fish which I thought was fantastic It tasted really good with the melting cheese atop It made me chuckle in my head when I tasted the carrot as I thought in my head Omg that is so vegan Haha The Pesto Tagliatelle was amazing Even the bread I am not really into crunchy bread but this was had flavour in it so I ate the whole entire thing I love pasta in general and this was one great We loved the Broccolini so much that we ordered two It was the best thing we had on our first visit We will come back again to try other dishes,MILA Plant-Based
Matt B.,2021-02-14,5,Vegan brunch doesnt get much better than this Weve been wanting to try this place since it opened We ordered some brunch for take-out around noon and it was ready within 25 minutes I ordered the tempeh rib hash 16 and my wife got the breakfast sandwich 18  both were pretty magnificent Tempeh rib hash this comes with perfectly roasted potatoes tempeh wild mushrooms tofu scramble avocado roast veg and arugula with a wonderful sauce The flavours and textures were just incredible Very filling 5/5 Breakfast sandwich pretty decadent sandwich with sausage tofu scramble cheese avocado etc served with smashed potatoes Almost too decadent and extremely feeling Very tasty 4.5/5 Overall though its on the pricier side the quality clearly matches and the portions are generous Looking forward to returning to try other items on both their brunch and other menus Highly recommended,MILA Plant-Based
Olivia C.,2021-11-20,5,DELICIOUS the bao appetizer was so so good i will definitely be coming back the dessert was great as well,MILA Plant-Based
